Year,Entity,Crime subtype,Sex,January,February,March,April,May,June,July,August,September,October,November,December,Total Homicides Per Year
2023,Colima,Homicide,Women,0,1,0,0,1,1,0,2,1,0,0,0,
2023,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Man,2,0,1,0,0,0,2,0,2,0,0,0,
2023,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Man,0,2,0,0,0,1,0,0,0,0,0,0,
2023,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Man,28,17,40,27,34,27,20,9,65,0,0,0,
2023,Colima,Homicide,Man,1,0,1,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Man,4,2,1,2,4,1,0,0,0,0,0,0,
2023,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Man,17,13,25,21,25,18,39,55,0,0,0,0,
2023,Colima,Homicide,Man,0,1,0,1,5,0,2,0,3,0,0,0,
2023,Colima,Homicide,Man,4,4,5,8,9,4,7,4,4,0,0,0,
2023,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Unidentified,1,1,0,2,1,0,0,1,1,0,0,0,
2023,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Unidentified,0,1,0,0,2,1,3,0,0,0,0,0,
2023,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,69,44,81,74,91,60,82,78,89,0,0,0,599
total,,,,,,,,,,,,,,,,5653
